20,include,"""pngpriv.h""",
22,if,defined(PNG_READ_SUPPORTED) || defined(PNG_WRITE_SUPPORTED),
36,,#     ifdef PNG_SETJMP_SUPPORTED,
39,,#     endif,
76,ifndef,PNG_USER_MEM_SUPPORTED,
78,endif,,
84,,#     ifdef PNG_MAX_MALLOC_64K,
86,,#     endif,
89,ifdef,PNG_USER_MEM_SUPPORTED,
94,endif,,
102,if,defined(PNG_TEXT_SUPPORTED) || defined(PNG_sPLT_SUPPORTED) || defined(PNG_STORE_UNKNOWN_CHUNKS_SUPPORTED),
165,endif,,/* TEXT || sPLT || STORE_UNKNOWN_CHUNKS */
187,ifdef,PNG_USER_MEM_SUPPORTED,
205,endif,,/* USER_MEM */
237,ifdef,PNG_USER_MEM_SUPPORTED,
250,endif,,/* USER_MEM */
255,ifdef,PNG_USER_MEM_SUPPORTED,
283,endif,,/* USER_MEM */
284,endif,,/* READ || WRITE */
